x,y
38,0
39,0
40,0
41,0
42,0
49,0
50,0
51,0
52,0
53,0
54,0
36,1
37,1
38,1
39,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
67,1
68,1
87,1
88,1
89,1
36,2
39,2
40,2
41,2
42,2
43,2
44,2
45,2
46,2
47,2
48,2
49,2
50,2
51,2
52,2
53,2
54,2
91,2
92,2
93,2
94,2
65,2
66,2
67,2
68,2
106,3
78,3
79,3
43,3
44,3
45,3
46,3
47,3
48,3
49,3
50,3
51,3
52,3
53,3
88,3
89,3
90,3
91,3
92,3
93,3
94,3
23,4
24,4
78,4
43,4
44,4
45,4
46,4
47,4
48,4
49,4
50,4
51,4
52,4
106,4
107,4
108,4
33,4
34,4
35,4
82,4
83,4
85,4
86,4
87,4
88,4
89,4
90,4
91,4
92,4
93,4
94,4
95,4
96,4
97,4
98,4
99,4
100,4
101,4
102,4
5,5
6,5
7,5
8,5
9,5
10,5
11,5
12,5
13,5
43,5
44,5
45,5
46,5
47,5
48,5
49,5
50,5
51,5
85,5
86,5
87,5
88,5
89,5
90,5
91,5
92,5
93,5
94,5
95,5
96,5
97,5
98,5
99,5
100,5
101,5
102,5
103,5
104,5
105,5
106,5
107,5
108,5
109,5
110,5
111,5
112,5
113,5
114,5
115,5
116,5
117,5
118,5
119,5
120,5
15,5
16,5
17,5
18,5
19,5
22,5
23,5
25,5
29,5
66,5
67,5
68,5
69,5
70,5
71,5
72,5
80,5
81,5
83,5
84,5
35,5
36,5
37,5
4,6
5,6
6,6
7,6
8,6
9,6
10,6
11,6
12,6
13,6
14,6
15,6
16,6
17,6
18,6
19,6
20,6
21,6
22,6
23,6
24,6
25,6
26,6
27,6
28,6
29,6
31,6
65,6
66,6
67,6
68,6
69,6
70,6
71,6
72,6
73,6
75,6
76,6
77,6
78,6
79,6
80,6
81,6
82,6
83,6
84,6
85,6
86,6
87,6
88,6
89,6
90,6
91,6
92,6
93,6
94,6
95,6
96,6
97,6
98,6
99,6
100,6
101,6
102,6
103,6
104,6
105,6
106,6
107,6
108,6
109,6
110,6
111,6
112,6
113,6
114,6
115,6
116,6
117,6
118,6
119,6
120,6
121,6
122,6
123,6
42,6
43,6
44,6
45,6
46,6
47,6
48,6
36,6
37,6
2,7
3,7
4,7
5,7
6,7
7,7
8,7
9,7
10,7
11,7
12,7
13,7
14,7
15,7
16,7
17,7
18,7
19,7
20,7
21,7
22,7
23,7
24,7
25,7
26,7
27,7
28,7
52,7
53,7
54,7
64,7
65,7
66,7
67,7
68,7
69,7
70,7
71,7
72,7
74,7
75,7
76,7
77,7
78,7
79,7
80,7
81,7
82,7
83,7
84,7
85,7
86,7
87,7
88,7
89,7
90,7
91,7
92,7
93,7
94,7
95,7
96,7
97,7
98,7
99,7
100,7
101,7
